POSTCODE,2018Meter,2018Total,2018Mean,2018Medium,2019Meter,2019Total,2019Mean,2019Medium,2020Meter,2020Total,2020Mean,2020Medium,,
SG,136577,501825620.3,3674.305486,3311.031925,139780,510466304.8,3651.926633,3299.153529,142565,555562547,3896.907004,3509.873532,,
SK,252455,890373766.8,3526.861289,3179.692047,254939,894716358.1,3509.531135,3158.626355,256672,953582150.7,3715.177934,3312.678908,,
SL,140670,578832182.4,4114.823221,3725.368859,141878,581890655.2,4101.345207,3704.232543,142943,617848163.7,4322.33942,3887.286537,,
SM,76807,272483184.8,3547.634783,3129.337203,77789,276456199.3,3553.924068,3148.609779,78272,293593692.9,3750.941498,3299.272206,,
SN,189084,703577419.3,3720.97808,3330.61395,191611,710431775.2,3707.677405,3318.080059,193905,756119284,3899.431598,3474.772421,,
SO,267369,970657410.7,3630.403714,3214.433264,270254,976509842.1,3613.303937,3208.226964,273099,1044443498,3824.413483,3353.177004,,
SP,93819,364465216.9,3884.76979,3460.570265,95977,369574731.7,3850.659342,3436.281974,97387,394867637.3,4054.62369,3614.952259,,
SR,109899,322771117.5,2936.979567,2629.758561,110381,321492459.7,2912.570639,2601.877245,110930,337127683,3039.102885,2652.947341,,
SS,176210,647873022.6,3676.709736,3275.910593,179326,654698404.9,3650.883893,3253.91719,181680,704215095.6,3876.128884,3409.16081,,
ST,259625,862657977.7,3322.707666,2965.146178,262408,867587601.6,3306.254389,2939.256573,264852,917363815.6,3463.684683,3033.187162,,
SW,386036,1351344303,3500.565498,3056.142819,389452,1339313788,3438.970111,3025.644171,389770,1396353605,3582.50662,3138.547044,,
SY,129503,488129486.2,3769.252343,3318.705855,131594,494620831.7,3758.688327,3313.525421,133180,528824198,3970.747845,3459.56748,,
TA,130304,470952279.8,3614.258041,3203.971576,132149,474784175.2,3592.794309,3191.079055,134070,509089056.1,3797.188454,3333.310709,,
TD,48835,174824575.1,3579.903247,3123.699241,49391,175486028.7,3552.996066,3116.989646,49779,185690963.2,3730.307222,3234.397789,,
TF,87477,300346749.2,3433.436779,3093.953564,89132,303550331.6,3405.626841,3061.298085,90826,325154820.1,3579.975118,3177.594009,,
TN,226918,891566561.7,3929.025294,3499.051389,232385,910273448.8,3917.092105,3507.598289,237283,988378465.1,4165.399397,3692.754925,,
TQ,120795,425670611.7,3523.909199,3058.710291,121991,429685953.3,3522.275851,3053.612544,122895,456532439.5,3714.817035,3181.13019,,
TR,116618,459907960.3,3943.713323,3434.238844,119136,474677455.8,3984.332661,3465.915515,121324,503612749.2,4150.973832,3607.576081,,
TS,259402,805477918.3,3105.133801,2781.615133,261757,800088490.4,3056.607809,2740.034486,263639,850012013.3,3224.151257,2827.037684,,
