POSTCODE,Type,2018,2019,2020
UB,Medium,3080.971875,3038.489263,3136.429359
W,Medium,3002.536694,2955.345857,2999.668616
WA,Medium,3143.158543,3116.245236,3265.051144
WC,Medium,2572.800441,2511.902566,2452.525188
WD,Medium,3488.281127,3465.599397,3647.987349
WF,Medium,2796.882699,2779.092701,2899.257766
WN,Medium,2937.724748,2901.195878,2991.802446
WR,Medium,3314.836614,3272.830493,3416.761146
WS,Medium,3108.388626,3075.558118,3193.079446
WV,Medium,3099.353849,3060.421071,3176.712298
YO,Medium,2993.881038,2969.898893,3117.238242
ZE,Medium,3336.732159,3377.138202,3505.05506
