POSTCODE,Year,Meter,Total,Mean,Medium,,,,,,,,,,
EX,2020,230681,863087135.9,3741.474746,3310.385444,,,,,,,,,,
FK,2020,122773,425882910.1,3468.864572,3098.750826,,,,,,,,,,
FY,2020,118177,422407980.3,3574.367096,3087.371683,,,,,,,,,,
G,2020,521171,1649733717,3165.436521,2891.539755,,,,,,,,,,
GL,2020,252896,993587231.8,3928.837276,3423.751005,,,,,,,,,,
GU,2020,280148,1221802526,4361.275204,3897.16454,,,,,,,,,,
HA,2020,143223,548899271.1,3832.479916,3415.205131,,,,,,,,,,
HD,2020,110415,389594117.7,3528.452816,3084.144058,,,,,,,,,,
HG,2020,58734,233171024.7,3969.949683,3516.19978,,,,,,,,,,
HP,2020,180551,745438099.7,4128.684414,3665.738141,,,,,,,,,,
HR,2020,67590,271758150.3,4020.685757,3537.187225,,,,,,,,,,
HS,2020,13209,58635067.22,4439.023939,3709.840084,,,,,,,,,,
HU,2020,191581,640807344.2,3344.837662,2908.513399,,,,,,,,,,
HX,2020,68495,246824439,3603.539513,3113.232968,,,,,,,,,,
IG,2020,117952,459274496.5,3893.740645,3406.464465,,,,,,,,,,
IP,2020,194235,750426236,3863.496466,3374.901875,,,,,,,,,,
IV,2020,105149,408959732.3,3889.335441,3303.494747,,,,,,,,,,
KA,2020,168581,556613374.9,3318.519868,2955.98275,,,,,,,,,,
KT,2020,60919,205843998,3378.978611,3026.126038,,,,,,,,,,
KW,2020,22580,96982630.97,4295.067802,3448.696276,,,,,,,,,,
KY,2020,166877,560177741.6,3356.83013,2968.906201,,,,,,,,,,
L,2020,375815,1238647682,3295.897401,2932.004673,,,,,,,,,,
LA,2020,139664,498222994.6,3567.297189,3100.080026,,,,,,,,,,
LD,2020,20394,80865346.26,3965.153783,3404.245634,,,,,,,,,,
LE,2020,304948,1084305049,3555.70474,3087.492573,,,,,,,,,,
LL,2020,223801,810412533.4,3621.130082,3146.056414,,,,,,,,,,
LN,2020,100689,363178118.3,3606.929439,3123.893449,,,,,,,,,,
LS,2020,326640,1156341626,3540.110291,3099.40058,,,,,,,,,,
LU,2020,111081,400246594.3,3603.195815,3155.377654,,,,,,,,,,
M,2020,498506,1719926924,3450.162934,3014.074841,,,,,,,,,,
ME,2020,225631,849601733.6,3765.447716,3317.62495,,,,,,,,,,
MK,2020,179725,668807092.6,3721.280248,3278.268408,,,,,,,,,,
ML,2020,163947,569663397.5,3474.680217,3129.332694,,,,,,,,,,
N,2020,305297,1032748330,3382.766059,2981.187894,,,,,,,,,,
NE,2020,518480,1638838385,3160.851692,2804.069438,,,,,,,,,,
NG,2020,384825,1335666382,3470.840984,3038.947286,,,,,,,,,,
NN,2020,226025,821287485.5,3633.613474,3198.764041,,,,,,,,,,
NP,2020,215012,730720699,3398.511241,3015.946987,,,,,,,,,,
NR,2020,253715,925108251,3646.249733,3197.108836,,,,,,,,,,
NW,2020,213423,768557561.6,3601.099983,3180.495545,,,,,,,,,,
OL,2020,190747,651275617.9,3414.342653,3001.651016,,,,,,,,,,
OX,2020,247306,986492925.2,3988.956698,3477.106317,,,,,,,,,,
PA,2020,146060,493568944.2,3379.220486,2970.194527,,,,,,,,,,
PE,2020,296391,1127174074,3802.996965,3310.337172,,,,,,,,,,
PH,2020,74760,297859553.1,3984.21018,3426.479494,,,,,,,,,,
PL,2020,221022,830878414.3,3759.256609,3356.09876,,,,,,,,,,
PO,2020,349952,1252670585,3579.549725,3102.59148,,,,,,,,,,
PR,2020,223334,807201194.4,3614.322917,3185.575231,,,,,,,,,,
RG,2020,323672,1339790613,4139.346663,3735.095102,,,,,,,,,,
RH,2020,192387,795022253,4132.411509,3696.554886,,,,,,,,,,
RM,2020,177849,660613205.4,3714.461174,3273.587254,,,,,,,,,,
S,2020,569123,1884153768,3310.626645,2881.155435,,,,,,,,,,
SA,2020,318577,1108776764,3480.404311,3057.82954,,,,,,,,,,
